Způsob_koupě,Typ_obydlení,Počet_pokojů,Typ_kuchyně,Velikost_bytu,Cena,Ulice,Kraj
pronájem,bytu,2,k,42,20490,"Kroftova, Praha 5 - Smíchov",1
pronájem,bytu,5,1,133,42990,"Sokolská, Praha 2 - Nové Město",1
pronájem,bytu,1,k,26,10990,"Štúrova, Praha 4 - Krč",1
pronájem,bytu,3,k,86,26490,"Lipnická, Praha 9 - Kyje",1
pronájem,bytu,2,k,70,24990,"Kochanova, Praha 6 - Břevnov",1
pronájem,bytu,2,1,66,22990,"Zoubkova, Praha 5 - Smíchov",1
pronájem,bytu,4,k,114,37490,"K Haltýři, Praha 8 - Troja",1
pronájem,bytu,3,k,72,19990,"Hrudičkova, Praha 4 - Chodov",1
pronájem,bytu,3,k,69,22990,"Chlebovická, Praha 9 - Letňany",1
pronájem,bytu,1,k,25,12990,"Nepomucká, Praha 5 - Košíře",1
pronájem,bytu,2,k,35,12990,"Na Míčánkách, Praha 10 - Vršovice",1
pronájem,bytu,2,k,45,18990,"Hornoměcholupská, Praha 10 - Hostivař",1
pronájem,bytu,1,1,36,12990,"Družstevní ochoz, Praha 4 - Nusle",1
pronájem,bytu,2,k,42,15990,"U školičky, Praha 9 - Libeň",1
pronájem,bytu,3,k,82,32990,"Československého exilu, Praha 4 - Modřany",1
pronájem,bytu,1,k,24,12490,"Františka Kadlece, Praha 8 - Libeň",1
pronájem,bytu,2,1,75,23490,"Za Hládkovem, Praha 6 - Střešovice",1
pronájem,bytu,1,k,27,14990,"Biskupcova, Praha 3 - Žižkov",1
pronájem,bytu,2,1,83,25990,"Sudoměřská, Praha 3 - Žižkov",1
pronájem,bytu,2,k,53,16490,"Michelská, Praha 4 - Michle",1
pronájem,bytu,2,k,49,19990,"Mantovská, Praha 10 - Horní Měcholupy",1
pronájem,bytu,3,1,71,15990,"Polabská, Praha 9 - Miškovice",1
pronájem,bytu,1,k,34,13490,"Písnická, Praha 4 - Kamýk",1
pronájem,bytu,1,k,30,14490,"Mantovská, Praha 10 - Horní Měcholupy",1
pronájem,bytu,3,1,74,20990,"Vratislavská, Praha 8 - Bohnice",1
pronájem,bytu,3,k,69,16990,"Žíšovská, Praha 9 - Újezd nad Lesy",1
pronájem,bytu,1,k,35,13990,"Blšanecká, Praha 10 - Uhříněves",1
pronájem,bytu,3,1,58,21990,"Novodvorská, Praha 4 - Braník",1
pronájem,bytu,1,k,26,14990,"Újezd, Praha 1 - Malá Strana",1
pronájem,bytu,2,k,46,17990,"28. pluku, Praha 10 - Vršovice",1
pronájem,bytu,4,k,68,19990,"Novoborská, Praha 9 - Prosek",1
pronájem,bytu,2,k,67,22990,"Přeučilova, Praha 5 - Stodůlky",1
pronájem,bytu,3,k,75,22990,"Skřivanská, Praha 10 - Malešice",1
pronájem,bytu,1,1,38,14000,"Šaldova, Praha 8 - Karlín",1
pronájem,bytu,1,k,22,12490,"Děčínská, Praha 8 - Střížkov",1
pronájem,bytu,3,1,68,22490,"Krynická, Praha 8 - Troja",1
pronájem,bytu,1,k,35,18490,"Pechmanových, Praha 9 - Vysočany",1
pronájem,bytu,3,k,75,19990,"Jana Růžičky, Praha 4 - Kunratice",1
pronájem,bytu,3,k,69,31990,"Vinohradská, Praha 2 - Vinohrady",1
pronájem,bytu,2,k,45,17990,"Voskovcova, Praha 5 - Hlubočepy",1
pronájem,bytu,2,k,57,19490,"Hájkova, Praha 3 - Žižkov",1
pronájem,bytu,3,k,72,21490,"Vysočanská, Praha 9 - Prosek",1
pronájem,bytu,3,k,60,22990,"Anny Drabíkové, Praha 4 - Háje",1
pronájem,bytu,2,1,46,16990,"Patočkova, Praha 6 - Břevnov",1
pronájem,bytu,3,1,73,21990,"Vysočanská, Praha 9 - Prosek",1
pronájem,bytu,2,k,48,15490,"Gabinova, Praha 5 - Hlubočepy",1
pronájem,bytu,1,1,50,16990,"Rečkova, Praha 3 - Žižkov",1
pronájem,bytu,5,1,130,37990,"Hroznová, Praha 1 - Malá Strana",1
pronájem,bytu,1,1,31,12990,"Budějovická, Praha 4 - Krč",1
pronájem,bytu,3,k,100,24490,"Fantova, Praha 5 - Stodůlky",1
pronájem,bytu,2,1,80,22490,"Ortenovo náměstí, Praha 7 - Holešovice",1
pronájem,bytu,2,1,79,21990,"Jaselská, Praha 6 - Dejvice",1
pronájem,bytu,1,k,29,12490,"Bachova, Praha 4 - Chodov",1
pronájem,bytu,2,k,43,20490,"U michelského mlýna, Praha 4 - Michle",1
pronájem,bytu,2,k,46,17490,"Poupětova, Praha 7 - Holešovice",1
pronájem,bytu,3,k,81,24990,"Za černým mostem, Praha 9 - Hloubětín",1
pronájem,bytu,1,k,31,9490,"Křížová, Praha 5 - Smíchov",1
pronájem,bytu,2,1,65,19490,"Zbudovská, Praha 4 - Libuš",1
pronájem,bytu,3,1,69,19290,"Silurská, Praha 5 - Hlubočepy",1
pronájem,bytu,2,k,48,19990,"Baranova, Praha 3 - Žižkov",1
pronájem,bytu,3,k,73,25990,"Nevanova, Praha 6 - Řepy",1
pronájem,bytu,3,1,65,18990,"Vrbenského, Praha 7 - Holešovice",1
pronájem,bytu,3,k,60,19490,"Veltruská, Praha 9 - Prosek",1
pronájem,bytu,2,k,42,15490,"Laudova, Praha 6 - Řepy",1
pronájem,bytu,2,k,43,18490,"Stupkova, Praha 7 - Holešovice",1
pronájem,bytu,6,k,194,52000,"Bělehradská, Praha 2 - Vinohrady",1
pronájem,bytu,2,k,47,30625,"Chodská, Praha 2 - Vinohrady",1
pronájem,bytu,1,k,42,22000,"Olgy Havlové, Praha 3 - Žižkov",1
pronájem,bytu,2,k,68,22000,"Univerzitní, Praha 10 - Malešice",1
pronájem,bytu,2,k,43,23000,"Šiklové, Praha 5 - Smíchov",1
pronájem,bytu,5,1,110,45000,"Hošťálkova, Praha 6 - Břevnov",1
pronájem,bytu,3,k,86,29000,"Vacínovská, Praha 5 - Jinonice",1
pronájem,bytu,3,1,95,33000,"Jagellonská, Praha 3 - Vinohrady",1
pronájem,bytu,3,1,105,41500,"Mánesova, Praha 2 - Vinohrady",1
pronájem,bytu,2,k,44,25000,"Hornokrčská, Praha 4 - Krč",1
pronájem,bytu,3,1,97,42000,"Balbínova, Praha 2 - Vinohrady",1
pronájem,bytu,1,k,26,16000,"Španělská, Praha 2 - Vinohrady",1
pronájem,bytu,3,k,76,35000,"Americká, Praha 2 - Vinohrady",1
pronájem,bytu,1,1,25,13500,"Záběhlická, Praha 10 - Záběhlice",1
pronájem,bytu,3,1,123,46000,"Stroupežnického, Praha 5 - Smíchov",1
pronájem,bytu,1,k,24,19000,"Studentská, Praha 6 - Dejvice",1
pronájem,bytu,3,k,81,28000,"Smržových, Praha 9 - Vysočany",1
pronájem,bytu,2,k,64,22000,"Valečovská, Praha 9 - Prosek",1
pronájem,bytu,1,k,38,16330,"Hnězdenská, Praha 8 - Troja",1
pronájem,bytu,1,k,37,20330,"Olgy Havlové, Praha 3 - Žižkov",1
pronájem,bytu,2,k,50,24000,"Moravská, Praha 2 - Vinohrady",1
pronájem,bytu,3,k,115,38500,"Petřínská, Praha 5 - Malá Strana",1
pronájem,bytu,2,k,40,18000,"Mládeže, Praha 6 - Břevnov",1
pronájem,bytu,2,k,45,19500,"Na Březince, Praha 5 - Smíchov",1
pronájem,bytu,2,1,56,19500,"Přistoupimská, Praha 10 - Malešice",1
pronájem,bytu,2,k,40,15000,"Písečná, Praha 8 - Troja",1
pronájem,bytu,2,k,47,19000,"Rašínovo nábřeží, Praha 2 - Nové Město",1
pronájem,bytu,2,k,59,18000,"Hornokrčská, Praha 4 - Krč",1
pronájem,bytu,1,k,35,16000,"Nuselská, Praha 4 - Nusle",1
pronájem,bytu,2,1,54,18000,"Bubeníčkova, Praha 6 - Břevnov",1
pronájem,bytu,2,k,59,22000,"Šternovská, Praha 4 - Chodov",1
pronájem,bytu,3,1,95,32000,"Slezská, Praha 3 - Vinohrady",1
pronájem,bytu,2,k,67,20490,"Na břehu, Praha 9 - Vysočany",1
pronájem,bytu,3,1,76,18490,"Kurzova, Praha 5 - Stodůlky",1
pronájem,bytu,2,k,53,20990,"Kabešova, Praha 9 - Vysočany",1
pronájem,bytu,2,k,53,19490,"Pod Harfou, Praha 9 - Vysočany",1
pronájem,bytu,1,k,30,14990,"U Nového dvora, Praha 4 - Lhotka",1
pronájem,bytu,1,k,35,14490,"Granitova, Praha 9 - Hloubětín",1
pronájem,bytu,1,k,27,13490,"U Nového dvora, Praha 4 - Lhotka",1
pronájem,bytu,2,1,52,16490,"Vítkovická, Praha 9 - Letňany",1
pronájem,bytu,3,k,66,22490,"Makovského, Praha 6 - Řepy",1
pronájem,bytu,1,k,40,14490,"Vrátnická, Praha 4 - Modřany",1
pronájem,bytu,1,k,24,13490,"Peroutkova, Praha 5 - Jinonice",1
pronájem,bytu,2,k,60,21500,"Rumunská, Praha 2 - Vinohrady",1
pronájem,bytu,2,k,51,15000,"Lásenická, Praha 9 - Kyje",1
pronájem,bytu,3,k,84,32000,"Korunní, Praha 10 - Vinohrady, okres Praha",1
pronájem,bytu,1,k,35,14900,"Kozácká, Praha 10 - Vršovice",1
pronájem,bytu,3,1,97,34000,"Myslíkova, Praha 1 - Nové Město",1
pronájem,bytu,2,k,80,32000,"Opletalova, Praha 1 - Nové Město",1
pronájem,bytu,2,1,67,22000,"Litoměřická, Praha 9 - Prosek",1
pronájem,bytu,3,k,107,61840,"Italská, Praha 2 - Vinohrady",1
pronájem,bytu,1,k,16,9000,"Šaldova, Praha 8 - Karlín",1
pronájem,bytu,2,k,60,35000,"Na Kocínce, Praha 6 - Dejvice, okres Praha",1
pronájem,bytu,2,k,38,17000,"Dobrovského, Praha 7 - Holešovice",1
pronájem,bytu,1,k,26,11000,"Viklefova, Praha 3 - Žižkov",1
pronájem,bytu,2,1,57,18500,"Žinkovská, Praha 10 - Strašnice",1
pronájem,bytu,2,1,61,22900,"Na Skalce, Praha 5 - Smíchov",1
pronájem,bytu,3,k,70,24000,"Zdiměřická, Praha 4 - Chodov",1
pronájem,bytu,1,k,25,17000,"Krakovská, Praha 1 - Nové Město",1
pronájem,bytu,2,1,96,24000,"Dářská, Praha 9 - Kyje",1
pronájem,bytu,3,k,86,27900,"Vacínovská, Praha 5 - Jinonice",1
pronájem,bytu,3,k,60,14000,"Krolmusova, Praha 6 - Řepy",1
pronájem,bytu,2,k,63,24000,"Ocelářská, Praha 9 - Vysočany",1
pronájem,bytu,2,k,55,25000,"Sobí, Praha 9 - Hloubětín",1
pronájem,bytu,4,k,110,35000,"Hartigova, Praha 3 - Žižkov",1
pronájem,bytu,1,k,53,25000,"Mlýnská, Praha 6 - Bubeneč",1
pronájem,bytu,3,k,82,30000,"Ocelářská, Praha 9 - Vysočany",1
pronájem,bytu,4,1,114,29500,"Petra Rezka, Praha 4 - Nusle",1
pronájem,bytu,1,k,26,14000,"Písečná, Praha 8 - Troja",1
pronájem,bytu,3,1,71,22800,"Tupolevova, Praha 9 - Letňany",1
pronájem,bytu,2,k,53,19500,"Gorazdova, Praha 2 - Nové Město, okres Praha",1
pronájem,bytu,1,k,43,13900,"Litoměřická, Praha 9 - Střížkov",1
pronájem,bytu,1,k,32,14800,"Lucemburská, Praha 3 - Vinohrady",1
pronájem,bytu,2,1,67,25000,"V rovinách, Praha 4 - Podolí, okres Praha",1
pronájem,bytu,3,1,97,35000,Praha 1 - Malá Strana,1
pronájem,bytu,2,k,38,14500,"Hnězdenská, Praha 8 - Troja",1
pronájem,bytu,4,k,108,44000,"Tyršova, Praha 2 - Nové Město",1
pronájem,bytu,3,k,95,23000,"Sulova, Praha 5 - Zbraslav",1
pronájem,bytu,3,1,96,35000,"Všehrdova, Praha 1 - Malá Strana",1
pronájem,bytu,3,k,80,23500,"Plynární, Praha 7 - Holešovice",1
pronájem,bytu,3,k,92,34000,"Americká, Praha 2 - Vinohrady",1
pronájem,bytu,3,k,95,49000,"Nobelova, Praha 6 - Vokovice",1
pronájem,bytu,3,k,75,29900,"U Zvonařky, Praha 2 - Vinohrady",1
pronájem,bytu,2,k,109,43900,"Vlašská, Praha 1 - Malá Strana",1
pronájem,bytu,1,k,22,13000,"Na Skalce, Praha 5 - Smíchov",1
pronájem,bytu,2,k,36,18003,"Na Větrníku, Praha 6 - Břevnov",1
pronájem,bytu,3,k,73,27000,"Heinemannova, Praha 6 - Dejvice",1
pronájem,bytu,1,k,25,19000,"Střešovická, Praha 6 - Střešovice",1
pronájem,bytu,2,k,80,25600,"Paťanka, Praha 6 - Dejvice",1
pronájem,bytu,3,k,109,54000,"Laubova, Praha 3 - Vinohrady",1
pronájem,bytu,2,1,58,20000,"Xaveriova, Praha 5 - Smíchov",1
pronájem,bytu,3,1,137,63000,"Betlémská, Praha 1 - Staré Město, okres Praha",1
pronájem,bytu,3,1,121,32000,"Na hrádku, Praha 2 - Nové Město",1
pronájem,bytu,1,k,24,11000,"Na vyhlídce, Praha 9 - Prosek",1
pronájem,bytu,2,k,50,20990,"Hnězdenská, Praha 8 - Troja",1
pronájem,bytu,1,1,43,11000,"Bouřilova, Praha 9 - Černý Most",1
pronájem,bytu,3,k,91,33900,"Baarové, Praha 5 - Hlubočepy",1
pronájem,bytu,4,k,126,38500,"Pobřežní, Praha 8 - Karlín",1
pronájem,bytu,2,k,65,34000,"Hodonínská, Praha 4 - Michle",1
pronájem,bytu,4,k,97,45000,"Breitfeldova, Praha 8 - Karlín",1
pronájem,bytu,3,k,80,28000,"Na Provaznici, Praha 5 - Smíchov, okres Praha",1
pronájem,bytu,1,k,35,19900,"Odkolkova, Praha 9 - Vysočany",1
pronájem,bytu,1,k,32,15000,"Slavojova, Praha 2 - Nusle, okres Praha",1
pronájem,bytu,4,k,110,43900,"Litoměřická, Praha 9 - Prosek",1
pronájem,bytu,1,k,24,13900,"Strančická, Praha 10 - Strašnice",1
pronájem,bytu,4,1,130,37000,"Moravská, Praha 2 - Vinohrady",1
pronájem,bytu,2,k,48,14990,"Petra Rezka, Praha 4 - Nusle",1
pronájem,bytu,3,1,117,28000,"Petra Rezka, Praha 4 - Nusle",1
pronájem,bytu,2,k,70,14900,"Petra Rezka, Praha 4 - Nusle",1
pronájem,bytu,3,k,82,24000,"Orebitská, Praha 3 - Žižkov, okres Praha",1
pronájem,bytu,2,k,54,20000,"Orebitská, Praha 3 - Žižkov, okres Praha",1
pronájem,bytu,4,1,96,28500,"Na hlavní, Praha 8 - Březiněves",1
pronájem,bytu,3,1,68,25490,"Plamínkové, Praha 4 - Nusle",1
pronájem,bytu,2,1,117,45400,"Bolzanova, Praha 1 - Nové Město",1
pronájem,bytu,3,k,82,21000,"Jugoslávských partyzánů, Praha 6 - Dejvice",1
pronájem,bytu,1,1,49,19500,"Na Moráni, Praha 2 - Nové Město",1
pronájem,bytu,2,k,50,27000,"Maiselova, Praha 1 - Josefov",1
pronájem,bytu,2,k,59,19000,"Čerpadlová, Praha 9 - Vysočany",1
pronájem,bytu,1,k,21,10500,"Nad šejdrem, Praha 4 - Libuš",1
pronájem,bytu,4,k,87,25000,"Bellušova, Praha 5 - Stodůlky, okres Praha",1
pronájem,bytu,3,k,86,28000,"Honzíkova, Praha 10 - Dolní Měcholupy",1
pronájem,bytu,2,k,101,60000,"Lázeňská, Praha 1 - Malá Strana",1
pronájem,bytu,2,k,32,16000,"Čenětická, Praha 4 - Chodov, okres Praha",1
pronájem,bytu,3,1,86,23000,"Bělocerkevská, Praha 10 - Vršovice",1
pronájem,bytu,1,1,36,13500,"Nedašovská, Praha 5 - Zličín",1
pronájem,bytu,2,k,86,21990,"Poděbradská, Praha 9 - Vysočany",1
pronájem,bytu,3,k,126,35000,"Na Poříčí, Praha 1 - Nové Město",1
pronájem,bytu,3,k,94,26900,"Plzeňská, Praha 5 - Stodůlky",1
pronájem,bytu,1,k,23,16500,"Ve Smečkách, Praha 1 - Nové Město",1
pronájem,bytu,1,k,25,11500,"Na Farkách, Praha 7 - Troja",1
pronájem,bytu,1,1,38,15500,"Nad Kajetánkou, Praha 6 - Břevnov, okres Praha",1
pronájem,bytu,1,k,30,12900,"Miroslava Hajna, Praha 9 - Letňany",1
pronájem,bytu,1,1,29,17000,"Cimburkova, Praha 3 - Žižkov",1
pronájem,bytu,1,k,19,16000,"Cimburkova, Praha 3 - Žižkov",1
pronájem,bytu,1,k,28,12500,"Marie Cibulkové, Praha 4 - Nusle",1
pronájem,bytu,1,k,45,16500,"Na Valentince, Praha 5 - Smíchov",1
