Způsob_koupě,Typ_obydlení,Počet_pokojů,Typ_kuchyně,Velikost_bytu,Cena,Ulice,Kraj
pronájem,bytu,1,k,39,14250,"Hnězdenská, Praha 8 - Troja",1
pronájem,bytu,1,1,35,13000,"Lihovarská, Praha 9 - Libeň",1
pronájem,bytu,2,1,54,17900,"Mahulenina, Praha 6 - Břevnov",1
pronájem,bytu,1,1,43,17500,"Sevastopolská, Praha 10 - Vršovice",1
pronájem,bytu,1,k,25,15000,"Libická, Praha 3 - Vinohrady",1
pronájem,bytu,3,k,116,35000,"Králodvorská, Praha 1 - Staré Město",1
pronájem,bytu,3,k,78,24000,"Milady Horákové, Praha 7 - Holešovice",1
pronájem,bytu,3,1,117,24999,"Zborovská, Praha 5 - Smíchov",1
pronájem,bytu,1,k,42,25000,"Jankovcova, Praha 7 - Holešovice",1
0,0,0,0,0,16000,"Na šachtě, Praha 7 - Holešovice",1
0,0,0,0,0,14500,"Na šachtě, Praha 7 - Holešovice",1
pronájem,bytu,2,k,57,20000,"Sousedíkova, Praha 9 - Vysočany",1
pronájem,bytu,2,k,54,17800,"Neveklovská, Praha 4 - Krč",1
pronájem,bytu,2,1,82,29300,"Chodská, Praha 2 - Vinohrady",1
pronájem,bytu,5,k,140,69000,"Varhulíkové, Praha 7 - Holešovice",1
pronájem,bytu,2,k,55,20002,"Na Větrníku, Praha 6 - Břevnov",1
pronájem,bytu,1,k,30,12500,"Nad Opatovem, Praha 4 - Chodov",1
pronájem,bytu,5,k,250,130000,"Dřevná, Praha 2 - Nové Město",1
pronájem,bytu,3,1,65,24900,"Hrubého, Praha 8 - Kobylisy",1
pronájem,bytu,3,1,97,34000,"Myslíkova, Praha 1 - Nové Město, okres Praha",1
pronájem,bytu,3,k,138,29999,"Bořivojova, Praha 3 - Vinohrady",1
pronájem,bytu,2,k,47,23600,"Na palouku, Praha 10 - Strašnice",1
pronájem,bytu,2,k,58,21000,"Petržílkova, Praha 5 - Stodůlky",1
pronájem,bytu,2,k,49,28000,"Olgy Havlové, Praha 3 - Žižkov",1
pronájem,bytu,1,k,31,18000,"Olgy Havlové, Praha 3 - Žižkov",1
pronájem,bytu,3,k,62,20000,"Za poštou, Praha 10 - Strašnice",1
pronájem,bytu,2,k,60,22000,"Na Zemance, Praha 4 - Braník",1
pronájem,bytu,2,k,50,19000,"Ondrákové, Praha 5 - Hlubočepy",1
pronájem,bytu,1,k,25,15000,"K Barrandovu, Praha 5 - Hlubočepy",1
pronájem,bytu,3,k,96,32000,"U Dívčích hradů, Praha 5 - Smíchov",1
pronájem,bytu,2,k,39,16990,"V zápolí, Praha 4 - Michle",1
pronájem,bytu,3,k,88,30000,"Choceradská, Praha 4 - Záběhlice",1
pronájem,bytu,3,k,91,25000,"Rižská, Praha 10 - Hostivař, okres Praha",1
pronájem,bytu,2,k,65,30000,"Za Karlínským přístavem, Praha 8 - Karlín",1
